algorithm,experiment,condition,trial,network_seed,parameter_source,noise_type,noise_rate_hz,teacher_weight,ciphertext_bytes,simulation_wall_s,decoder_tie_fraction,victor_purpura_mean,van_rossum_mean,bit_errors,ber,ciphertext_byte_accuracy,exact_ciphertext_recovery,decryption_success,exact_plaintext_recovery,plaintext_byte_accuracy,noise_seed
S-DES,teaching_ablation,teacher_only,5,2056791297,Teaching-only shortcut,poisson_excitatory,10.0,1200.0,105,1.030715054133907,0.0,51.36437500000004,5.542983517382245,0,0.0,1.0,True,True,True,1.0,440793807
S-DES,teaching_ablation,full_network,5,2056791297,ES+teacher full network,poisson_excitatory,10.0,1200.0,105,1.0261893158312887,0.0,129.765625,10.762722692986916,0,0.0,1.0,True,True,True,1.0,440793807
S-DES,teaching_ablation,es_stdp_teacher_off,6,1670477206,ES+STDP no teacher,poisson_excitatory,10.0,1200.0,105,0.5344185368157923,0.007142857142857143,71.87562499999999,6.2196528221283955,3,0.0035714285714285713,0.9714285714285714,False,True,False,0.9714285714285714,799558946
S-DES,teaching_ablation,es_static_teacher_off,6,1670477206,ES static,poisson_excitatory,10.0,1200.0,105,0.5346832119394094,0.002380952380952381,65.05687500000002,5.847074750028742,2,0.002380952380952381,0.9809523809523809,False,True,False,0.9809523809523809,799558946
S-DES,teaching_ablation,default_stdp_teacher_off,6,1670477206,default+STDP no teacher,poisson_excitatory,10.0,1200.0,105,0.5438718488439918,0.0761904761904762,75.36437500000005,6.6360723080433335,50,0.05952380952380952,0.6285714285714286,False,True,False,0.6285714285714286,799558946
S-DES,teaching_ablation,teacher_assisted_then_off,6,1670477206,ES+teacher training,poisson_excitatory,10.0,1200.0,105,0.5342190461233258,0.02857142857142857,80.980625,6.759716872841773,19,0.02261904761904762,0.8380952380952381,False,True,False,0.8380952380952381,799558946
S-DES,teaching_ablation,teacher_only,6,1670477206,Teaching-only shortcut,poisson_excitatory,10.0,1200.0,105,1.0285211000591516,0.0,51.36437500000004,5.542983517382245,0,0.0,1.0,True,True,True,1.0,799558946
S-DES,teaching_ablation,full_network,6,1670477206,ES+teacher full network,poisson_excitatory,10.0,1200.0,105,1.0310956060420722,0.0,129.348125,10.72935003740776,0,0.0,1.0,True,True,True,1.0,799558946
S-DES,teaching_ablation,es_stdp_teacher_off,7,345392676,ES+STDP no teacher,poisson_excitatory,10.0,1200.0,105,0.5393743431195617,0.014285714285714285,72.36437499999997,6.239579271281523,6,0.007142857142857143,0.9428571428571428,False,True,False,0.9428571428571428,170122531
S-DES,teaching_ablation,es_static_teacher_off,7,345392676,ES static,poisson_excitatory,10.0,1200.0,105,0.5325471691321582,0.004761904761904762,65.89500000000001,5.893472299360576,2,0.002380952380952381,0.9809523809523809,False,True,False,0.9809523809523809,170122531
