algorithm,noise_type,noise_rate_hz,n_observations,n_payloads,n_models,n_noise_replicates,ber_mean,ber_std,ber_ci95_low,ber_ci95_high,ciphertext_byte_accuracy_mean,ciphertext_byte_accuracy_std,ciphertext_byte_accuracy_ci95_low,ciphertext_byte_accuracy_ci95_high,decoder_tie_fraction_mean,decoder_tie_fraction_std,decoder_tie_fraction_ci95_low,decoder_tie_fraction_ci95_high,victor_purpura_mean_mean,victor_purpura_mean_std,victor_purpura_mean_ci95_low,victor_purpura_mean_ci95_high,van_rossum_mean_mean,van_rossum_mean_std,van_rossum_mean_ci95_low,van_rossum_mean_ci95_high,exact_ciphertext_recovery_rate,exact_ciphertext_recovery_wilson95_low,exact_ciphertext_recovery_wilson95_high,decryption_success_rate,decryption_success_wilson95_low,decryption_success_wilson95_high,exact_plaintext_recovery_rate,exact_plaintext_recovery_wilson95_low,exact_plaintext_recovery_wilson95_high
ChaCha20,poisson_excitatory,50.0,24,4,3,2,0.05511039886039887,0.008406008237201697,0.05194867343304844,0.0584045584045584,0.6367521367521367,0.05128205128205127,0.616087962962963,0.6563390313390314,0.0977118945868946,0.01006168882103445,0.09392806267806268,0.10171830484330484,91.28479166666666,0.7184566430319008,91.01376432291667,91.57051106770835,7.367569226815707,0.04903885067736581,7.3492442385769445,7.387223057037272,0.0,1.3877787807814457e-17,0.13797620467498017,1.0,0.8620237953250198,1.0,0.0,1.3877787807814457e-17,0.13797620467498017
ChaCha20,poisson_excitatory,100.0,24,4,3,2,0.150462962962963,0.009585230116007763,0.14659009971509973,0.15420227920227922,0.2720797720797721,0.0421488346087152,0.254985754985755,0.2884615384615385,0.2568999287749288,0.016581105494424056,0.250133547008547,0.2631332353988604,113.4311458333333,0.9181583548020269,113.04815690104164,113.77553710937498,8.742854275819765,0.05011459346739382,8.72340642188226,8.762266351152606,0.0,1.3877787807814457e-17,0.13797620467498017,1.0,0.8620237953250198,1.0,0.0,1.3877787807814457e-17,0.13797620467498017
ChaCha20,poisson_inhibitory,5.0,24,4,3,2,0.02488425925925926,0.003825961262845331,0.023370726495726496,0.02639779202279202,0.8222934472934473,0.02690778548797536,0.8116096866096867,0.8326210826210826,0.04540598290598291,0.0036058767549378206,0.04398148148148148,0.04683048433048433,81.12721354166668,0.48692618749056227,80.94244596354167,81.31867252604168,6.596392382246859,0.022954086833057642,6.587426321600221,6.605222814331607,0.0,1.3877787807814457e-17,0.13797620467498017,1.0,0.8620237953250198,1.0,0.0,1.3877787807814457e-17,0.13797620467498017
ChaCha20,poisson_inhibitory,10.0,24,4,3,2,0.023904914529914528,0.0031317073726711076,0.022702991452991456,0.02515135327635328,0.8254985754985755,0.023899307514639718,0.8165865384615385,0.8347667378917378,0.04540598290598291,0.004921190129375335,0.04349180911680912,0.04740918803418803,81.78703125,0.5127981386922035,81.57798177083335,81.98416861979167,6.621689340303199,0.024683462784164327,6.6121374397514305,6.6315463485690325,0.0,1.3877787807814457e-17,0.13797620467498017,1.0,0.8620237953250198,1.0,0.0,1.3877787807814457e-17,0.13797620467498017
ChaCha20,poisson_inhibitory,25.0,24,4,3,2,0.02506232193732194,0.003832441371250801,0.023548789173789175,0.0265758547008547,0.816951566951567,0.02506686110010213,0.806980056980057,0.826923076923077,0.04803240740740741,0.003639837326709247,0.04651887464387464,0.049412393162393174,83.84763020833337,0.5056629036407809,83.64772460937503,84.03385872395836,6.711573088004798,0.02254925659882321,6.702741315552926,6.7204541402284255,0.0,1.3877787807814457e-17,0.13797620467498017,1.0,0.8620237953250198,1.0,0.0,1.3877787807814457e-17,0.13797620467498017
ChaCha20,poisson_inhibitory,50.0,24,4,3,2,0.03147257834757835,0.004307961774209003,0.029870014245014245,0.033164173789173794,0.7777777777777777,0.03066168910403013,0.7656695156695156,0.7898860398860398,0.057380698005698005,0.007076147044254705,0.054620726495726496,0.060140669515669515,87.09518229166672,0.65815049547953,86.84060677083338,87.34484375000004,6.890687417889052,0.033189452656925515,6.877679732658957,6.903089985127815,0.0,1.3877787807814457e-17,0.13797620467498017,1.0,0.8620237953250198,1.0,0.0,1.3877787807814457e-17,0.13797620467498017
ChaCha20,poisson_inhibitory,100.0,24,4,3,2,0.11618589743589743,0.011054735421128089,0.11160078347578349,0.12050503027065526,0.370014245014245,0.06145164851171627,0.34579772079772075,0.3942307692307692,0.17191951566951566,0.012966454835194078,0.1669326477920228,0.17690527065527065,91.46880208333334,0.7491775589487614,91.15093815104167,91.74660286458334,7.292090584351027,0.039576214959089175,7.276586905252894,7.307139083817327,0.0,1.3877787807814457e-17,0.13797620467498017,1.0,0.8620237953250198,1.0,0.0,1.3877787807814457e-17,0.13797620467498017
ChaCha20,poisson_mixed,5.0,24,4,3,2,0.02381588319088319,0.002963437299750824,0.022613960113960118,0.024973290598290593,0.8272792022792023,0.02364041739093152,0.8183760683760685,0.8365384615384616,0.043091168091168086,0.00416370783025593,0.041444088319088315,0.04469373219373219,80.67645833333334,0.4583971464140927,80.50033203125001,80.85843098958335,6.583979349768058,0.022757075922183043,6.575319803249514,6.593040682501446,0.0,1.3877787807814457e-17,0.13797620467498017,1.0,0.8620237953250198,1.0,0.0,1.3877787807814457e-17,0.13797620467498017
ChaCha20,poisson_mixed,10.0,24,4,3,2,0.021233974358974363,0.004579708386613848,0.019497863247863248,0.022970085470085472,0.842948717948718,0.032454419968232916,0.8304843304843305,0.8557692307692307,0.04193376068376068,0.0048321459934517474,0.04010861823361824,0.04393696581196582,81.09348958333335,0.6129726968313469,80.8572916666667,81.32920117187503,6.609557576486381,0.03031293219068971,6.597635602492875,6.621610718664428,0.0,1.3877787807814457e-17,0.13797620467498017,1.0,0.8620237953250198,1.0,0.0,1.3877787807814457e-17,0.13797620467498017
ChaCha20,poisson_mixed,25.0,24,4,3,2,0.01936431623931624,0.003123773965696124,0.018162393162393164,0.020610754985754987,0.8589743589743589,0.021972122629646207,0.8504273504273504,0.8678774928774927,0.038995726495726496,0.0036875295962447677,0.0375267094017094,0.04042022792022792,81.99296875000003,0.36754326543973564,81.84920507812504,82.13227864583335,6.664251367156328,0.01807355536679259,6.657192957623178,6.671177855275231,0.0,1.3877787807814457e-17,0.13797620467498017,1.0,0.8620237953250198,1.0,0.0,1.3877787807814457e-17,0.13797620467498017
ChaCha20,poisson_mixed,50.0,24,4,3,2,0.019720441595441594,0.004083221526606416,0.01820690883190883,0.0213230056980057,0.8529202279202278,0.029064109535300604,0.8411680911680911,0.8643251424501425,0.041978276353276354,0.005914825786976571,0.039663461538461536,0.0442485754985755,83.40166666666671,0.5597538238342722,83.18438541666671,83.61844921875003,6.753176062623545,0.030769696222798935,6.740671411301333,6.764678064774026,0.0,1.3877787807814457e-17,0.13797620467498017,1.0,0.8620237953250198,1.0,0.0,1.3877787807814457e-17,0.13797620467498017
ChaCha20,poisson_mixed,100.0,24,4,3,2,0.02853454415954416,0.005939943414374677,0.026219729344729343,0.030849358974358976,0.7948717948717948,0.03912674675054587,0.7795584045584046,0.8101851851851851,0.05582264957264957,0.0089622403179899,0.052573005698005694,0.05960648148148148,86.77260416666668,0.5226740552441486,86.57367447916668,86.98009765625002,6.963275887789784,0.03041604415447472,6.951620950270604,6.9753936241981584,0.0,1.3877787807814457e-17,0.13797620467498017,1.0,0.8620237953250198,1.0,0.0,1.3877787807814457e-17,0.13797620467498017
DES,none,0.0,24,4,3,2,0.01171875,0.0030447113508746486,0.010545789930555558,0.012890625000000001,0.9104166666666668,0.025802342327107,0.9,0.920486111111111,0.028385416666666663,0.005445245815640799,0.02621527777777778,0.03046875,81.91109375000002,0.3684463677160229,81.76950260416669,82.05419140625001,6.619808531549133,0.017366807031852113,6.613382325149572,6.626760700918613,0.0,1.3877787807814457e-17,0.13797620467498017,0.25,0.11999366228595004,0.44899444005154004,0.0,1.3877787807814457e-17,0.13797620467498017
