algorithm,experiment,condition,trial,rail,bit_index,bit_value,victor_purpura,van_rossum,l1_spike_count,l3_spike_count,unit_id,model_trial,payload_id,noise_replicate,noise_seed,noise_type,noise_rate_hz
S-DES,full_noise_campaign,es_stdp_teacher_off,0,9,4,1,105.36000000000007,7.736544548720044,152,180,S-DES|m0|p0|r0,0,0,0,1714456944,poisson_excitatory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,10,5,0,91.24999999999997,7.112145828502461,138,154,S-DES|m0|p0|r0,0,0,0,1714456944,poisson_excitatory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,11,5,1,50.47999999999989,5.2045722208995056,72,74,S-DES|m0|p0|r0,0,0,0,1714456944,poisson_excitatory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,12,6,0,56.53999999999992,5.470448980858971,82,84,S-DES|m0|p0|r0,0,0,0,1714456944,poisson_excitatory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,13,6,1,85.53000000000013,6.843827315411049,128,141,S-DES|m0|p0|r0,0,0,0,1714456944,poisson_excitatory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,14,7,0,103.70999999999997,7.694423614445832,148,177,S-DES|m0|p0|r0,0,0,0,1714456944,poisson_excitatory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,15,7,1,43.11999999999996,4.839110421756555,62,63,S-DES|m0|p0|r0,0,0,0,1714456944,poisson_excitatory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,0,0,0,96.06999999999971,7.469662763297828,138,163,S-DES|m0|p0|r0,0,0,0,1917772909,poisson_excitatory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,1,0,1,51.419999999999945,5.320462434339589,72,76,S-DES|m0|p0|r0,0,0,0,1917772909,poisson_excitatory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,2,1,0,50.08999999999994,5.239151140087127,68,73,S-DES|m0|p0|r0,0,0,0,1917772909,poisson_excitatory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,3,1,1,101.86000000000001,7.629993484231938,142,170,S-DES|m0|p0|r0,0,0,0,1917772909,poisson_excitatory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,4,2,0,62.99,5.953553715917622,88,97,S-DES|m0|p0|r0,0,0,0,1917772909,poisson_excitatory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,5,2,1,86.09000000000006,7.01264895276334,122,140,S-DES|m0|p0|r0,0,0,0,1917772909,poisson_excitatory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,6,3,0,103.82000000000005,7.781818739068631,146,173,S-DES|m0|p0|r0,0,0,0,1917772909,poisson_excitatory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,7,3,1,49.14000000000002,5.237158358188013,64,69,S-DES|m0|p0|r0,0,0,0,1917772909,poisson_excitatory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,8,4,0,40.9399999999999,4.7020146074678655,58,60,S-DES|m0|p0|r0,0,0,0,1917772909,poisson_excitatory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,9,4,1,107.73000000000023,7.877562379331634,152,185,S-DES|m0|p0|r0,0,0,0,1917772909,poisson_excitatory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,10,5,0,100.65999999999994,7.650544151935239,138,165,S-DES|m0|p0|r0,0,0,0,1917772909,poisson_excitatory,25.0
