algorithm,payload_bytes,trial,ciphertext_bytes,network_build_s,encryption_s,snn_simulation_s,spike_readout_s,decoding_s,decryption_s,online_total_without_build_s,peak_process_rss_mb,throughput_payload_bytes_per_s,decoder_tie_fraction,decryption_success,exact_plaintext_recovery
DES,2048,1,2064,0.06469039595685899,0.00016709300689399242,10.60506419884041,0.00019151507876813412,1.1141156281810254,9.53220296651125e-05,11.719633757136762,588.0,174.74948811884624,0.030523255813953487,False,False
DES,2048,2,2064,0.06453233980573714,0.00019909115508198738,10.678568121045828,0.00017315801233053207,1.1024241230916232,9.364215657114983e-05,11.781458135461435,588.0,173.83247272556622,0.033854166666666664,False,False
AES,128,0,160,0.064499526983127,0.00016600103117525578,0.8280217070132494,8.937902748584747e-05,0.02126477099955082,6.0959020629525185e-05,0.8496028170920908,588.0,150.65863415813712,0.05,False,False
AES,128,1,160,0.06425636983476579,0.00016094697639346123,0.8242030660621822,8.720508776605129e-05,0.02190480288118124,5.825399421155453e-05,0.8464142750017345,588.0,151.22618294656917,0.04140625,False,False
AES,128,2,160,0.06570492777973413,0.00019326992332935333,0.8284542670007795,8.664489723742008e-05,0.02101914887316525,5.5383890867233276e-05,0.8498087145853788,588.0,150.62213154927593,0.04296875,False,False
AES,256,0,288,0.06411900091916323,0.00017586490139365196,1.4810516219586134,8.992594666779041e-05,0.04449695814400911,6.800703704357147e-05,1.5258823779877275,588.0,167.77177827926852,0.046875,False,False
AES,256,1,288,0.06429670588113368,0.00024448009207844734,1.4748500101268291,8.972315117716789e-05,0.04499448207207024,6.389990448951721e-05,1.5202425953466445,588.0,168.39417655024135,0.046440972222222224,False,False
AES,256,2,288,0.06386297917924821,0.00023476104252040386,1.4856540351174772,8.986401371657848e-05,0.0480347559787333,8.109817281365395e-05,1.5340945143252611,588.0,166.8736819077905,0.046875,False,False
AES,512,0,544,0.06368233007378876,0.00012707593850791454,2.805754187051207,0.0001480539795011282,0.11670824908651412,6.139208562672138e-05,2.9227989581413567,588.0,175.17455265742498,0.05238970588235294,False,False
AES,512,1,544,0.06405873806215823,0.00016734213568270206,2.801047576125711,0.00010430603288114071,0.11588918091729283,6.357487291097641e-05,2.917271980084479,588.0,175.50643323464595,0.04549632352941176,False,False
AES,512,2,544,0.06395108602009714,0.00016191811300814152,2.7843247049022466,0.0001615472137928009,0.11597044579684734,6.275693885982037e-05,2.9006813729647547,588.0,176.5102519607972,0.050551470588235295,False,False
AES,1024,0,1056,0.06406323798000813,0.000212603947147727,5.46316098398529,0.00012164097279310226,0.3355591120198369,5.548098124563694e-05,5.799109821906313,588.0,176.57882527621894,0.04758522727272727,False,False
AES,1024,1,1056,0.06442095385864377,0.00013381801545619965,5.5226700839120895,0.00016121193766593933,0.3395010328385979,5.9209996834397316e-05,5.862525356700644,588.0,174.6687541111625,0.04616477272727273,False,False
AES,1024,2,1056,0.06451553502120078,0.00013667112216353416,5.431773467920721,0.00012888899073004723,0.3393158558756113,5.860184319317341e-05,5.771413485752419,588.0,177.42620634059477,0.04805871212121212,False,False
AES,2048,0,2080,0.06414223392494023,0.00013991305604577065,10.737862813053653,0.00018215994350612164,1.108903530985117,6.505590863525867e-05,11.847153472946957,588.0,172.86852953130216,0.04633413461538462,False,False
AES,2048,1,2080,0.06437708390876651,0.0001687349285930395,10.775831433944404,0.00016884016804397106,1.1449683660175651,6.491807289421558e-05,11.9212022931315,588.0,171.79475271382418,0.048978365384615384,False,False
AES,2048,2,2080,0.06616536411456764,0.00016655190847814083,10.705490993103012,0.00021311594173312187,1.1237153608817607,8.271005935966969e-05,11.829668731894344,588.0,173.12403638812998,0.04861778846153846,False,False
ChaCha20,128,0,140,0.0648804591037333,0.0001542998943477869,0.7170325950719416,8.698110468685627e-05,0.01815058500505984,3.423797897994518e-05,0.735458699055016,588.0,174.04104426865302,0.05267857142857143,True,False
ChaCha20,128,1,140,0.0648858908098191,0.0001138600055128336,0.7209224298130721,8.12069047242403e-05,0.01744661689735949,3.502704203128815e-05,0.7385991406626999,588.0,173.30104105611795,0.039285714285714285,True,False
ChaCha20,128,2,140,0.0638850920367986,0.00011275196447968483,0.7213076809421182,8.181808516383171e-05,0.017394735012203455,3.968807868659496e-05,0.7389366740826517,588.0,173.22188015489255,0.04196428571428571,True,False
ChaCha20,256,0,268,0.06443320214748383,0.0001402439083904028,1.3764108130708337,9.011896327137947e-05,0.040252144914120436,3.348803147673607e-05,1.4169268088880926,588.0,180.6727054595652,0.033582089552238806,True,False
ChaCha20,256,1,268,0.06436229310929775,0.00011152285151183605,1.3887922000139952,8.90861265361309e-05,0.0403327529784292,3.534788265824318e-05,1.4293609098531306,588.0,179.1010221668259,0.041044776119402986,True,False
ChaCha20,256,2,268,0.06416538101620972,0.00011413497850298882,1.3801814101170748,9.018904529511929e-05,0.03993316413834691,3.38659156113863e-05,1.4203527641948313,588.0,180.23691469711832,0.051305970149253734,True,False
ChaCha20,512,0,524,0.06425944017246366,0.00011454313062131405,2.705205630045384,0.00010177399963140488,0.11065783794037998,3.547593951225281e-05,2.816115261055529,588.0,181.8107401641272,0.0446087786259542,True,False
ChaCha20,512,1,524,0.06548594683408737,0.00011758995242416859,2.7098009090404958,0.00010894495062530041,0.10941393184475601,3.983406350016594e-05,2.8194812098518014,588.0,181.59369114111314,0.048187022900763356,True,False
ChaCha20,512,2,524,0.06435177591629326,0.0001553739421069622,2.7241273240651935,9.803380817174911e-05,0.11256622010841966,3.692018799483776e-05,2.8369838721118867,588.0,180.4733558879419,0.04604007633587786,True,False
ChaCha20,1024,0,1036,0.06448183720931411,0.0001261651050299406,5.348026121966541,0.00014798715710639954,0.3311557830311358,4.181405529379845e-05,5.679497871315107,588.0,180.29762898086787,0.04584942084942085,True,False
ChaCha20,1024,1,1036,0.06508503388613462,0.00015496090054512024,5.375936076045036,0.00012651504948735237,0.3308431289624423,4.131300374865532e-05,5.70710199396126,588.0,179.42556503870168,0.0402992277992278,True,False
ChaCha20,1024,2,1036,0.0643730410374701,0.0001528740394860506,5.326096780132502,0.0001231469213962555,0.3263538870960474,3.841589204967022e-05,5.652765104081482,588.0,181.15028329421267,0.04681467181467181,True,False
ChaCha20,2048,0,2060,0.06488809897564352,0.00012149801477789879,10.617080366937444,0.00016779894940555096,1.1042339380364865,4.043686203658581e-05,11.72164403880015,588.0,174.71951828778083,0.047026699029126214,True,False
ChaCha20,2048,1,2060,0.0644514390733093,0.0001679400447756052,10.546115353005007,0.000163680175319314,1.1155270950403064,4.4029904529452324e-05,11.662018098169938,588.0,175.6128298515831,0.04472087378640777,True,False
ChaCha20,2048,2,2060,0.06464503798633814,0.00015599909238517284,10.59690432692878,0.00017581996507942677,1.1288366541266441,4.0839891880750656e-05,11.726113640004769,588.0,174.65292106781655,0.04654126213592233,True,False
RSA,128,0,256,0.06464000418782234,0.0007342901080846786,1.321586029836908,0.00010213395580649376,0.03898188401944935,0.0013754959218204021,1.362779833842069,588.0,93.9256634280617,0.05126953125,False,False
RSA,128,1,256,0.06422651396133006,0.0006097028963267803,1.3269706959836185,8.915900252759457e-05,0.04127505817450583,0.0013932560104876757,1.3703378720674664,588.0,93.40762056505297,0.0546875,False,False
RSA,128,2,256,0.0646721359807998,0.0006272350437939167,1.308688084827736,8.558505214750767e-05,0.03811239986680448,0.001371942926198244,1.3488852477166802,588.0,94.893172133561,0.056640625,False,False
RSA,256,0,512,0.06433990388177335,0.0011599501594901085,2.6280024040024728,0.00010128389112651348,0.1087095090188086,0.0014203190803527832,2.7393934661522508,588.0,93.45134357773632,0.0517578125,False,False
RSA,256,1,512,0.06479424494318664,0.0012049300130456686,2.6231828150339425,0.00010378099977970123,0.11718326294794679,0.0014280900359153748,2.74310287903063,588.0,93.32497222651249,0.0537109375,False,False
RSA,256,2,512,0.06464797304943204,0.001218987163156271,2.6274622599594295,0.00011417688801884651,0.10789608582854271,0.001363137038424611,2.738054646877572,588.0,93.49703823184748,0.0556640625,False,False
RSA,512,0,768,0.06578425411134958,0.0017076199874281883,3.980824504978955,0.00012694299221038818,0.20840260502882302,0.0014626081101596355,4.192524281097576,588.0,122.12213112477471,0.054524739583333336,False,False
RSA,512,1,768,0.06613630708307028,0.0017197919078171253,3.97402748093009,0.0001149880699813366,0.20525333215482533,0.001474814023822546,4.182590407086536,588.0,122.41217766208273,0.053873697916666664,False,False
RSA,512,2,768,0.06492016394622624,0.0017262129113078117,3.9589313650503755,0.00011756084859371185,0.20779238687828183,0.001390125835314393,4.169957651523873,588.0,122.78302150452157,0.053059895833333336,False,False
RSA,1024,0,1536,0.06498897401615977,0.003445120994001627,7.8981091398745775,0.00014600204303860664,0.6728613500017673,0.001344617921859026,8.575906230835244,588.0,119.40429062973422,0.054768880208333336,False,False
RSA,1024,1,1536,0.06443555490113795,0.0033647080417722464,7.8877125980798155,0.0001375118736177683,0.663450624095276,0.0014023389667272568,8.556067781057209,588.0,119.68114631666371,0.051025390625,False,False
RSA,1024,2,1536,0.06438399013131857,0.00337858684360981,7.847576673841104,0.0001368289813399315,0.6720239392016083,0.0013460931368172169,8.52446212200448,588.0,120.12488123522944,0.053466796875,False,False
RSA,2048,0,2816,0.06502505880780518,0.006541904993355274,14.504355779848993,0.00019632582552731037,2.0423320420086384,0.001468141796067357,16.55489419447258,588.00390625,123.70963993740261,0.05397727272727273,False,False
RSA,2048,1,2816,0.06450238521210849,0.006151553010568023,14.4430095651187,0.00020455406047403812,2.029586370801553,0.0014694039709866047,16.480421446962282,588.00390625,124.26866670800419,0.04940518465909091,False,False
RSA,2048,2,2816,0.06419801083393395,0.006207433063536882,14.390400876058266,0.0002064050640910864,2.0419091989751905,0.0015263091772794724,16.440250222338364,588.00390625,124.57231321316864,0.051225142045454544,False,False
ECIES,128,0,221,0.06413809978403151,0.00185875385068357,1.1317397539969534,9.208405390381813e-05,0.030907823937013745,0.0032359319739043713,1.1678343478124589,588.00390625,109.60458582140912,0.0,True,True
ECIES,128,1,221,0.0699316191021353,0.003767371876165271,1.131919007981196,9.133294224739075e-05,0.030913827940821648,0.0013549549039453268,1.1680464956443757,588.00390625,109.5846787583454,0.0,True,True
ECIES,128,2,221,0.06416023802012205,0.0018133190460503101,1.1311487259808928,8.333101868629456e-05,0.030596226919442415,0.0012803860008716583,1.1649219889659435,588.00390625,109.87860235484153,0.0,True,True
ECIES,256,0,349,0.06480262102559209,0.0017888830043375492,1.7838403210043907,9.071803651750088e-05,0.059364042012020946,0.0013530920259654522,1.8464370560832322,588.00390625,138.64539771696406,0.0,True,True
ECIES,256,1,349,0.06550003308802843,0.0018564111087471247,1.7803745591081679,8.932291530072689e-05,0.06662176409736276,0.001497295219451189,1.8504393524490297,588.00390625,138.34552300305748,0.0,True,True
ECIES,256,2,349,0.06863784603774548,0.0022583038080483675,1.7911043451167643,0.000131973996758461,0.06770297279581428,0.001362465089187026,1.8625600608065724,588.00390625,137.44523217637368,0.0,True,True
ECIES,512,0,605,0.06401481409557164,0.001958794891834259,3.083731499966234,0.00010662502609193325,0.13720141304656863,0.0013365659397095442,3.2243348988704383,588.00390625,158.7924381488306,0.0,True,True
ECIES,512,1,605,0.06416266597807407,0.0017860850784927607,3.0891966947820038,0.00010793516412377357,0.13574322895146906,0.0013169280719012022,3.2281508720479906,588.00390625,158.60473078669307,0.0,True,True
ECIES,512,2,605,0.0650606551207602,0.0018140978645533323,3.103059876943007,0.00010752701200544834,0.1385310860350728,0.0013528349809348583,3.2448654228355736,588.00390625,157.78774564788614,0.0,True,True
ECIES,1024,0,1117,0.06512559484690428,0.001832159934565425,5.74453240307048,0.00012579397298395634,0.3774696059990674,0.0013844450004398823,6.125344407977536,588.00390625,167.1742732810846,0.0,True,True
ECIES,1024,1,1117,0.06489020702429116,0.0018282169476151466,5.758093660930172,0.00012526195496320724,0.3736127319280058,0.0018197521567344666,6.13547962391749,588.00390625,166.8981176317848,0.0,True,True
ECIES,1024,2,1117,0.06444800598546863,0.0019188120495527983,5.748504152987152,0.0001229329500347376,0.3751289341598749,0.0013737771660089493,6.127048609312624,588.00390625,167.12777477293096,0.0,True,True
ECIES,2048,0,2141,0.06375183607451618,0.0018733469769358635,11.048483202932402,0.0001747149508446455,1.2074756869114935,0.0013756409753113985,12.259382592746988,588.00390625,167.055721159372,0.0,True,True
ECIES,2048,1,2141,0.0684163139667362,0.001931050093844533,11.029521810123697,0.00018436391837894917,1.190688414964825,0.0013196819927543402,12.2236453210935,588.00390625,167.54412830237376,0.0,True,True
ECIES,2048,2,2141,0.06447463505901396,0.0019378568977117538,11.030820589046925,0.0001720550935715437,1.2029850841499865,0.0014237819705158472,12.237339367158711,588.00390625,167.3566400794774,0.0,True,True
