algorithm,trial,plaintext_bytes,ciphertext_bytes,encryption_s,encoding_s,network_build_s,snn_simulation_s,spike_readout_s,decoding_s,decryption_s,online_total_without_build_s,online_total_with_build_s,peak_process_rss_mb,decoder_tie_fraction,decryption_success,exact_plaintext_recovery
DES,4,105,120,0.00018873601220548153,0.00025244499556720257,0.06564707215875387,0.6185737939085811,8.272402919828892e-05,0.014876581029966474,7.216609083116055e-05,0.6340464460663497,0.6996935182251036,587.890625,0.03125,False,False
DES,5,105,120,0.00020402087830007076,0.0002040439285337925,0.06396467587910593,0.6189142388757318,8.310191333293915e-05,0.014176341937854886,7.0963054895401e-05,0.6336527105886489,0.6976173864677548,587.890625,0.036458333333333336,False,False
DES,6,105,120,0.00017174705862998962,0.00022984598763287067,0.06418249197304249,0.6175705341156572,8.144020102918148e-05,0.014942728914320469,9.426590986549854e-05,0.6330905621871352,0.6972730541601777,587.890625,0.030208333333333334,False,False
DES,7,105,120,0.0001363428309559822,0.0001699230633676052,0.0643738319631666,0.6112410379573703,8.566398173570633e-05,0.014133003074675798,7.220008410513401e-05,0.6258381709922105,0.6902120029553771,587.890625,0.029166666666666667,False,False
DES,8,105,120,0.00017100502736866474,0.0001850309781730175,0.06445305491797626,0.6146777300164104,0.00011010700836777687,0.014949735952541232,6.63569662719965e-05,0.630159965949133,0.6946130208671093,587.890625,0.026041666666666668,False,False
DES,9,105,120,0.00013442197814583778,0.00016480195336043835,0.06466623395681381,0.6147842300124466,8.174707181751728e-05,0.014227685984224081,7.118098437786102e-05,0.6294640679843724,0.6941303019411862,587.890625,0.029166666666666667,False,False
AES,0,105,128,0.00016552605666220188,0.0002218929585069418,0.06407190207391977,0.6566042541526258,7.982505485415459e-05,0.015166769968345761,6.24519307166338e-05,0.6723007201217115,0.7363726221956313,587.890625,0.0439453125,False,False
AES,1,105,128,0.00016486598178744316,0.0002537509426474571,0.06426823302172124,0.6546517619863153,8.034100756049156e-05,0.01586612407118082,5.357200279831886e-05,0.6710704159922898,0.735338649014011,587.890625,0.048828125,False,False
AES,2,105,128,0.00012726709246635437,0.00017571402713656425,0.06404192885383964,0.6578095210716128,7.984205149114132e-05,0.01533055305480957,5.42390625923872e-05,0.6735771363601089,0.7376190652139485,587.890625,0.052734375,False,False
AES,3,105,128,0.00012454111129045486,0.00017586699686944485,0.06438881205394864,0.6628846051171422,8.699600584805012e-05,0.01631065085530281,5.1786890253424644e-05,0.6796344469767064,0.744023259030655,587.890625,0.0380859375,False,False
