algorithm,teacher_weight,n_trials,ber_mean,ber_std,ber_median,ber_q25,ber_q75,ber_ci95_low,ber_ci95_high,bit_errors_mean,bit_errors_std,bit_errors_median,bit_errors_q25,bit_errors_q75,bit_errors_ci95_low,bit_errors_ci95_high,ciphertext_byte_accuracy_mean,ciphertext_byte_accuracy_std,ciphertext_byte_accuracy_median,ciphertext_byte_accuracy_q25,ciphertext_byte_accuracy_q75,ciphertext_byte_accuracy_ci95_low,ciphertext_byte_accuracy_ci95_high,exact_ciphertext_recovery_mean,exact_ciphertext_recovery_std,exact_ciphertext_recovery_median,exact_ciphertext_recovery_q25,exact_ciphertext_recovery_q75,exact_ciphertext_recovery_ci95_low,exact_ciphertext_recovery_ci95_high,exact_ciphertext_recovery_wilson95_low,exact_ciphertext_recovery_wilson95_high,decryption_success_mean,decryption_success_std,decryption_success_median,decryption_success_q25,decryption_success_q75,decryption_success_ci95_low,decryption_success_ci95_high,decryption_success_wilson95_low,decryption_success_wilson95_high,exact_plaintext_recovery_mean,exact_plaintext_recovery_std,exact_plaintext_recovery_median,exact_plaintext_recovery_q25,exact_plaintext_recovery_q75,exact_plaintext_recovery_ci95_low,exact_plaintext_recovery_ci95_high,exact_plaintext_recovery_wilson95_low,exact_plaintext_recovery_wilson95_high,decoder_tie_fraction_mean,decoder_tie_fraction_std,decoder_tie_fraction_median,decoder_tie_fraction_q25,decoder_tie_fraction_q75,decoder_tie_fraction_ci95_low,decoder_tie_fraction_ci95_high,victor_purpura_mean_mean,victor_purpura_mean_std,victor_purpura_mean_median,victor_purpura_mean_q25,victor_purpura_mean_q75,victor_purpura_mean_ci95_low,victor_purpura_mean_ci95_high,van_rossum_mean_mean,van_rossum_mean_std,van_rossum_mean_median,van_rossum_mean_q25,van_rossum_mean_q75,van_rossum_mean_ci95_low,van_rossum_mean_ci95_high,simulation_wall_s_mean,simulation_wall_s_std,simulation_wall_s_median,simulation_wall_s_q25,simulation_wall_s_q75,simulation_wall_s_ci95_low,simulation_wall_s_ci95_high,plaintext_byte_accuracy_mean,plaintext_byte_accuracy_std,plaintext_byte_accuracy_median,plaintext_byte_accuracy_q25,plaintext_byte_accuracy_q75,plaintext_byte_accuracy_ci95_low,plaintext_byte_accuracy_ci95_high
DES,0.0,10,0.0140625,0.003446082159944307,0.0140625,0.01171875,0.015364583333333334,0.012083333333333333,0.016044270833333322,13.5,3.3082388735465345,13.5,11.25,14.75,11.6,15.5,0.8924999999999998,0.025594776666198756,0.8916666666666666,0.8833333333333333,0.9145833333333333,0.8766666666666666,0.9066666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.1,0.31622776601683794,0.0,0.0,0.0,0.0,0.3,0.017876213095072896,0.4041500267952385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.026770833333333334,0.0034739578995224346,0.026041666666666668,0.02421875,0.027083333333333334,0.024895833333333336,0.028958333333333336,82.00275000000002,0.2904994800626442,81.9465625,81.82281250000004,82.22015625000003,81.84768281250003,82.18209062500003,6.6668292011451245,0.017983344701138392,6.664515927891352,6.655692444475298,6.675905676606678,6.656772398896891,6.677690744922104,0.6105461095925421,0.002883324487911347,0.6101153224008158,0.6091385697945952,0.611019688542001,0.6090707740519429,0.6123663197335554,0.49523809523809526,0.0,0.49523809523809526,0.49523809523809526,0.49523809523809526,0.49523809523809526,0.49523809523809526
DES,300.0,10,0.019999999999999997,0.0029380827501814147,0.019791666666666666,0.017447916666666667,0.021354166666666667,0.01833333333333333,0.02177083333333333,19.2,2.820559440174157,19.0,16.75,20.5,17.6,20.802499999999988,0.8508333333333333,0.02203042228766484,0.85,0.84375,0.8708333333333333,0.8375,0.8625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.029895833333333333,0.0031075903937867293,0.030208333333333334,0.028125,0.030989583333333334,0.028229166666666666,0.03197916666666666,84.14618750000002,0.2631393421137494,84.15937500000004,83.96500000000002,84.32125000000005,83.98724687500003,84.29451875000005,6.802514557699072,0.01598260092671305,6.806303358235267,6.790637363031784,6.815128864915675,6.792852561109454,6.8108766186874465,0.6126909715821967,0.00424026964953835,0.6114000785164535,0.6104783418704756,0.6128555524628609,0.6103761365491664,0.615315188903478,,,,,,,
DES,600.0,10,0.02322916666666667,0.00264664430557771,0.023958333333333335,0.022135416666666664,0.023958333333333335,0.021562500000000002,0.024791666666666667,22.3,2.5407785333546005,23.0,21.25,23.0,20.797500000000007,23.8,0.8299999999999998,0.01808757844011079,0.8291666666666666,0.8166666666666667,0.8416666666666667,0.8191666666666666,0.8408333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.06135416666666667,0.0033104684545980628,0.06302083333333333,0.058854166666666666,0.06354166666666666,0.059375,0.06322916666666667,88.24249999999999,0.2528480137465097,88.2121875,88.07234375,88.39171875,88.09256093749998,88.3908890625,7.032080906895229,0.016225031511534187,7.0313441565502615,7.022468685555209,7.041420790055442,7.022995501099828,7.04152770004565,0.6113651719875633,0.00508796069588017,0.6091461824253201,0.6086208395427093,0.6137613410246558,0.6084997374098748,0.6144594800460618,,,,,,,
DES,900.0,10,0.043020833333333335,0.002988936002313519,0.042708333333333334,0.04088541666666667,0.04453125,0.04135416666666668,0.04479166666666667,41.3,2.869378562220979,41.0,39.25,42.75,39.7,43.1,0.7099999999999999,0.013494397557212354,0.7083333333333333,0.7020833333333333,0.7229166666666667,0.7008333333333334,0.7175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.07916666666666668,0.0043645156562418545,0.08020833333333334,0.07604166666666666,0.08125,0.0765625,0.08166666666666667,91.02293749999998,0.304833465748557,91.016875,90.78812499999998,91.24703125,90.84537499999999,91.2007765625,7.191300499422924,0.018349678513572592,7.191341621170475,7.178915949088691,7.202622267486634,7.180974647604831,7.202438466514739,0.6115320560988039,0.006314402117229276,0.6079371704254299,0.6075140813481994,0.6144787839148194,0.6080958054336952,0.6155090867122636,,,,,,,
DES,1200.0,10,0.043020833333333335,0.0029483235715769152,0.0421875,0.04088541666666667,0.044270833333333336,0.04145833333333333,0.044895833333333336,41.3,2.8303906287138374,40.5,39.25,42.5,39.7,43.0,0.7125,0.018941919023591478,0.7166666666666667,0.7020833333333333,0.725,0.7008333333333333,0.7225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0725,0.003995319406567369,0.07239583333333333,0.06979166666666667,0.07291666666666667,0.07020833333333334,0.07479166666666667,91.7325625,0.33702750490502226,91.65406250000001,91.548125,91.89218750000003,91.53937499999999,91.9398203125,7.244345549185961,0.020175754797002725,7.240779540982995,7.233856900640523,7.252459972367032,7.232905611690281,7.2570982761613925,0.6105691946577281,0.004874520495258987,0.6093771554296836,0.6077135841478594,0.6116015709703788,0.608076801369316,0.6136766653804807,,,,,,,
ECIES,0.0,10,0.003535353535353535,0.0010812485335576708,0.003472222222222222,0.002683080808080808,0.004261363636363636,0.0029040404040404045,0.004166666666666667,5.6,1.7126976771553504,5.5,4.25,6.75,4.6,6.6,0.9722222222222221,0.00833290819580107,0.9722222222222222,0.9696969696969697,0.9785353535353535,0.9671717171717173,0.9767676767676768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.007070707070707072,0.00178065621223116,0.007575757575757576,0.005839646464646465,0.008207070707070708,0.005997474747474748,0.00808080808080808,136.84250000000006,0.2804463827741678,136.7684375,136.63796875000008,137.10390625000008,136.68075000000005,137.0029453125001,8.661591701298125,0.013448093043768,8.660252586787246,8.651206777949888,8.673679748752193,8.654047784277985,8.669172625031234,1.007505129952915,0.007699636200197335,1.0083854621043429,1.001601421565283,1.0101637855404988,1.0030661588616203,1.012309005718562,,,,,,,
ECIES,300.0,10,0.055429292929292925,0.0026585204877699925,0.054924242424242424,0.05366161616161616,0.05808080808080808,0.0538510101010101,0.05694444444444444,87.8,4.211096452627668,87.0,85.0,92.0,85.4,90.30249999999998,0.652020202020202,0.016910604718986786,0.648989898989899,0.6363636363636364,0.6616161616161615,0.6424242424242425,0.6616161616161617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.09734848484848486,0.0034808203919419753,0.09595959595959597,0.09485479797979798,0.10085227272727272,0.09532828282828283,0.09943181818181819,149.71256250000002,0.3357365775115335,149.74843750000002,149.46156250000007,149.95265625,149.51225000000005,149.9068296875,9.202747889265353,0.015318717807224113,9.200893428189545,9.192169674540636,9.21681985168637,9.193851680337675,9.211873534552588,1.009085494861938,0.007888084528208302,1.0104640604695305,1.0033433329081163,1.0147361737908795,1.0042610253830206,1.0135650527453983,,,,,,,
ECIES,600.0,10,0.025252525252525256,0.0024899325686446204,0.025252525252525252,0.024147727272727272,0.02683080808080808,0.02380050505050505,0.02664141414141414,40.0,3.9440531887330774,40.0,38.25,42.5,37.7,42.3,0.82020202020202,0.011467600246415084,0.8181818181818181,0.8131313131313131,0.8232323232323232,0.8141414141414142,0.8272727272727274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.05953282828282828,0.0028083777770123303,0.06029040404040404,0.057133838383838384,0.061079545454545456,0.057891414141414146,0.061300505050505036,153.2481249999999,0.2545084791754921,153.1643749999999,153.10734374999993,153.23687499999988,153.13193437499987,153.41984843749992,9.397133725163275,0.013384827273886282,9.393125831697775,9.389058410900738,9.396293326854376,9.390538750237912,9.406076838131787,1.0089823795249686,0.006320887688811861,1.0063980675768107,1.0046921743196435,1.0145869084517471,1.0054730713902973,1.0129157288128046,,,,,,,
ECIES,900.0,10,0.008585858585858586,0.0021909789705084797,0.008207070707070708,0.007102272727272727,0.00946969696969697,0.007386363636363637,0.009974747474747475,13.6,3.470510689285432,13.0,11.25,15.0,11.6,15.6,0.9348484848484848,0.016050756143505766,0.9368686868686869,0.9305555555555556,0.9431818181818181,0.9242424242424242,0.943939393939394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.01994949494949495,0.003905306636249847,0.019570707070707072,0.017676767676767676,0.02241161616161616,0.01773989898989899,0.022223800505050496,154.43712499999995,0.31615559087080597,154.51874999999993,154.22296874999995,154.69749999999993,154.23484374999992,154.61512499999995,9.50533669218066,0.01645364751318867,9.508694337002261,9.491443650547925,9.518686829303407,9.495558959658563,9.514320345300936,1.0081548865884542,0.0074594768397600675,1.0091013305354863,1.0056437382590957,1.0098241362138651,1.00349555679888,1.0125216716504657,,,,,,,
ECIES,1200.0,10,0.012184343434343435,0.0018833881174465023,0.01231060606060606,0.011363636363636364,0.013573232323232322,0.011047979797979798,0.013257575757575756,19.3,2.9832867780352594,19.5,18.0,21.5,17.5,21.1,0.904040404040404,0.01542954779446412,0.9065656565656566,0.8914141414141414,0.9128787878787878,0.8954545454545455,0.9126262626262627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.023106060606060602,0.0029641105827708765,0.022095959595959596,0.020833333333333332,0.024936868686868688,0.021464646464646468,0.024936868686868684,156.48575,0.32395515807659,156.45218749999995,156.25515625000008,156.69109374999996,156.3042421875,156.66229687499998,9.62796373954636,0.01849671684266734,9.624228588308311,9.614411629664328,9.641009703263066,9.617447322529637,9.639138411904524,1.0111876512179152,0.003342714314299072,1.011104004108347,1.0100636530551128,1.0137307645054534,1.00890975374321,1.0129653833678458,,,,,,,
