algorithm,experiment,condition,trial,network_seed,parameter_source,noise_type,noise_rate_hz,teacher_weight,ciphertext_bytes,simulation_wall_s,decoder_tie_fraction,victor_purpura_mean,van_rossum_mean,bit_errors,ber,ciphertext_byte_accuracy,exact_ciphertext_recovery,decryption_success,exact_plaintext_recovery,plaintext_byte_accuracy,noise_seed
S-DES,teaching_weight_sweep,teacher_assisted_then_off,6,1692914418,ES+teacher training,poisson_excitatory,10.0,600.0,105,0.5418402987997979,0.034523809523809526,77.90437499999996,6.555128875101607,11,0.013095238095238096,0.9142857142857143,False,True,False,0.9142857142857143,646602482
S-DES,teaching_weight_sweep,teacher_assisted_then_off,6,1692914418,ES+teacher training,poisson_excitatory,10.0,900.0,105,0.5347015929874033,0.02619047619047619,79.81062499999996,6.697817885328148,14,0.016666666666666666,0.8761904761904762,False,True,False,0.8761904761904762,646602482
S-DES,teaching_weight_sweep,teacher_assisted_then_off,6,1692914418,ES+teacher training,poisson_excitatory,10.0,1200.0,105,0.5369058751966804,0.030952380952380953,81.74812499999997,6.802032577020523,18,0.02142857142857143,0.8380952380952381,False,True,False,0.8380952380952381,646602482
S-DES,teaching_weight_sweep,teacher_assisted_then_off,7,333505160,ES+teacher training,poisson_excitatory,10.0,0.0,105,0.5367321060039103,0.009523809523809525,72.00187500000003,6.221643511383162,3,0.0035714285714285713,0.9714285714285714,False,True,False,0.9714285714285714,50450163
S-DES,teaching_weight_sweep,teacher_assisted_then_off,7,333505160,ES+teacher training,poisson_excitatory,10.0,300.0,105,0.5298475939780474,0.055952380952380955,76.86062499999996,6.483587551383067,23,0.02738095238095238,0.8095238095238095,False,True,False,0.8095238095238095,50450163
S-DES,teaching_weight_sweep,teacher_assisted_then_off,7,333505160,ES+teacher training,poisson_excitatory,10.0,600.0,105,0.5418589569162577,0.02619047619047619,77.37625000000003,6.522155663600301,7,0.008333333333333333,0.9333333333333333,False,True,False,0.9333333333333333,50450163
S-DES,teaching_weight_sweep,teacher_assisted_then_off,7,333505160,ES+teacher training,poisson_excitatory,10.0,900.0,105,0.5369813009165227,0.02023809523809524,79.2525,6.6558032640873375,9,0.010714285714285714,0.9142857142857143,False,True,False,0.9142857142857143,50450163
S-DES,teaching_weight_sweep,teacher_assisted_then_off,7,333505160,ES+teacher training,poisson_excitatory,10.0,1200.0,105,0.5359711349010468,0.02619047619047619,81.32375000000002,6.767360880117369,16,0.01904761904761905,0.8761904761904762,False,True,False,0.8761904761904762,50450163
S-DES,teaching_weight_sweep,teacher_assisted_then_off,8,56623098,ES+teacher training,poisson_excitatory,10.0,0.0,105,0.5393486390821636,0.013095238095238096,72.21375000000002,6.2316158243007935,5,0.005952380952380952,0.9523809523809523,False,True,False,0.9523809523809523,1633329665
S-DES,teaching_weight_sweep,teacher_assisted_then_off,8,56623098,ES+teacher training,poisson_excitatory,10.0,300.0,105,0.536125976126641,0.058333333333333334,77.095625,6.491194268512851,24,0.02857142857142857,0.8,False,True,False,0.8,1633329665
