algorithm,noise_type,noise_rate_hz,n_paired_units,baseline_ber_mean,noise_ber_mean,mean_delta_ber,median_delta_ber,wilcoxon_statistic,p_value,p_holm,significant_holm_0_05
DES,poisson_mixed,100.0,24,0.01171875,0.03090277777777778,0.01918402777777778,0.019791666666666666,0.0,1.798354792980129e-05,0.0002665757690631366,True
ECIES,poisson_excitatory,5.0,24,0.0,0.0019202441077441077,0.0019202441077441077,0.001893939393939394,0.0,2.416242040976308e-05,0.00024491375774063833,True
ECIES,poisson_excitatory,10.0,24,0.0,0.00428766835016835,0.00428766835016835,0.003787878787878788,0.0,1.71310739610361e-05,0.00024491375774063833,True
ECIES,poisson_excitatory,25.0,24,0.0,0.018623737373737376,0.018623737373737376,0.018308080808080808,0.0,1.7423094116737294e-05,0.00024491375774063833,True
ECIES,poisson_excitatory,50.0,24,0.0,0.05308291245791246,0.05308291245791246,0.05208333333333333,0.0,1.7912715457470545e-05,0.00024491375774063833,True
ECIES,poisson_excitatory,100.0,24,0.0,0.1473063973063973,0.1473063973063973,0.14709595959595959,0.0,1.8072402374229977e-05,0.00024491375774063833,True
ECIES,poisson_inhibitory,5.0,24,0.0,0.002025462962962963,0.002025462962962963,0.001893939393939394,0.0,1.6725475378679868e-05,0.00024491375774063833,True
ECIES,poisson_inhibitory,10.0,24,0.0,0.0030513468013468013,0.0030513468013468013,0.002840909090909091,0.0,1.6327583849375887e-05,0.00024491375774063833,True
ECIES,poisson_inhibitory,25.0,24,0.0,0.006023779461279462,0.006023779461279462,0.006313131313131313,0.0,1.7250840611220994e-05,0.00024491375774063833,True
ECIES,poisson_inhibitory,50.0,24,0.0,0.01833438552188552,0.01833438552188552,0.017676767676767676,0.0,1.7789294061551753e-05,0.00024491375774063833,True
ECIES,poisson_inhibitory,100.0,24,0.0,0.11868686868686869,0.11868686868686869,0.11805555555555555,0.0,1.7930402683303212e-05,0.00024491375774063833,True
ECIES,poisson_mixed,5.0,24,0.0,0.00165719696969697,0.00165719696969697,0.001893939393939394,0.0,2.2588460633730254e-05,0.00024491375774063833,True
ECIES,poisson_mixed,10.0,24,0.0,0.002735690235690236,0.002735690235690236,0.0025252525252525255,0.0,1.697806458040569e-05,0.00024491375774063833,True
ECIES,poisson_mixed,25.0,24,0.0,0.006839225589225589,0.006839225589225589,0.006313131313131313,0.0,1.7182320980521414e-05,0.00024491375774063833,True
ECIES,poisson_mixed,50.0,24,0.0,0.014783249158249157,0.014783249158249157,0.01452020202020202,0.0,1.784210562699394e-05,0.00024491375774063833,True
ECIES,poisson_mixed,100.0,24,0.0,0.02696233164983165,0.02696233164983165,0.025883838383838384,0.0,1.777171793754244e-05,0.00024491375774063833,True
RSA,poisson_excitatory,5.0,24,0.02490234375,0.023722330729166668,-0.0011800130208333333,-0.0009765625,29.5,0.0009170457279695961,0.0036681829118783843,True
RSA,poisson_excitatory,10.0,24,0.02490234375,0.02593994140625,0.00103759765625,0.0009765625,45.0,0.0044654760568368776,0.010731301251378103,True
RSA,poisson_excitatory,25.0,24,0.02490234375,0.036417643229166664,0.011515299479166666,0.010986328125,0.0,1.785973723933819e-05,0.00026264601019186185,True
RSA,poisson_excitatory,50.0,24,0.02490234375,0.061055501302083336,0.036153157552083336,0.034912109375,0.0,1.812588280620125e-05,0.00026264601019186185,True
RSA,poisson_excitatory,100.0,24,0.02490234375,0.14988199869791666,0.12497965494791667,0.12451171875,0.0,1.814373762485085e-05,0.00026264601019186185,True
RSA,poisson_inhibitory,5.0,24,0.02490234375,0.027506510416666668,0.0026041666666666665,0.001953125,0.0,2.546093289810896e-05,0.00026264601019186185,True
RSA,poisson_inhibitory,10.0,24,0.02490234375,0.0286865234375,0.0037841796875,0.004150390625,0.0,1.77015518888593e-05,0.00026264601019186185,True
RSA,poisson_inhibitory,25.0,24,0.02490234375,0.030069986979166668,0.005167643229166667,0.005126953125,0.0,1.785973723933819e-05,0.00026264601019186185,True
RSA,poisson_inhibitory,50.0,24,0.02490234375,0.042399088541666664,0.017496744791666668,0.01708984375,0.0,1.785973723933819e-05,0.00026264601019186185,True
RSA,poisson_inhibitory,100.0,24,0.02490234375,0.13222249348958334,0.10732014973958333,0.106201171875,0.0,1.798354792980129e-05,0.00026264601019186185,True
RSA,poisson_mixed,5.0,24,0.02490234375,0.025390625,0.00048828125,0.00048828125,99.5,0.237690589757667,0.237690589757667,False
