algorithm,experiment,condition,trial,network_seed,parameter_source,noise_type,noise_rate_hz,teacher_weight,ciphertext_bytes,simulation_wall_s,decoder_tie_fraction,victor_purpura_mean,van_rossum_mean,bit_errors,ber,ciphertext_byte_accuracy,exact_ciphertext_recovery,decryption_success,exact_plaintext_recovery,plaintext_byte_accuracy,unit_id,model_trial,payload_id,noise_replicate,noise_seed,plaintext_bytes,noise_exc_weight,noise_inh_weight,noise_weight_fraction_of_l1_l2
ECIES,full_noise_campaign,es_stdp_teacher_off,1,1262123063,ES+STDP teacher-free,poisson_inhibitory,10.0,0.0,198,1.0074743079021573,0.001893939393939394,139.51312500000017,8.705484339025546,1,0.0006313131313131314,0.9949494949494949,False,False,False,,ECIES|m1|p3|r0,1,3,0,609288763,105,145.61801952063576,-145.61801952063576,0.1
ECIES,full_noise_campaign,es_stdp_teacher_off,1,1262123063,ES+STDP teacher-free,poisson_inhibitory,25.0,0.0,198,1.003267436986789,0.011363636363636364,142.68312500000013,8.802891105404772,8,0.005050505050505051,0.9595959595959596,False,False,False,,ECIES|m1|p3|r0,1,3,0,808415038,105,145.61801952063576,-145.61801952063576,0.1
ECIES,full_noise_campaign,es_stdp_teacher_off,1,1262123063,ES+STDP teacher-free,poisson_inhibitory,50.0,0.0,198,0.9979157031048089,0.032196969696969696,148.02875000000012,9.034614515220309,26,0.016414141414141416,0.8838383838383839,False,False,False,,ECIES|m1|p3|r0,1,3,0,724800881,105,145.61801952063576,-145.61801952063576,0.1
ECIES,full_noise_campaign,es_stdp_teacher_off,1,1262123063,ES+STDP teacher-free,poisson_inhibitory,100.0,0.0,198,0.9990469149779528,0.18371212121212122,157.12562500000007,9.591505811140213,183,0.11553030303030302,0.3484848484848485,False,False,False,,ECIES|m1|p3|r0,1,3,0,1555439518,105,145.61801952063576,-145.61801952063576,0.1
ECIES,full_noise_campaign,es_stdp_teacher_off,1,1262123063,ES+STDP teacher-free,poisson_mixed,5.0,0.0,198,1.0142968560103327,0.0025252525252525255,137.74375000000003,8.654621528740293,3,0.001893939393939394,0.9848484848484849,False,False,False,,ECIES|m1|p3|r0,1,3,0,1039888099,105,145.61801952063576,-145.61801952063576,0.1
ECIES,full_noise_campaign,es_stdp_teacher_off,1,1262123063,ES+STDP teacher-free,poisson_mixed,10.0,0.0,198,1.0122016561217606,0.0031565656565656565,137.92812500000014,8.66522181948777,2,0.0012626262626262627,0.98989898989899,False,False,False,,ECIES|m1|p3|r0,1,3,0,2085042477,105,145.61801952063576,-145.61801952063576,0.1
ECIES,full_noise_campaign,es_stdp_teacher_off,1,1262123063,ES+STDP teacher-free,poisson_mixed,25.0,0.0,198,1.0080262289848179,0.011363636363636364,139.7950000000001,8.757826741215727,9,0.005681818181818182,0.9545454545454546,False,False,False,,ECIES|m1|p3|r0,1,3,0,1748587568,105,145.61801952063576,-145.61801952063576,0.1
ECIES,full_noise_campaign,es_stdp_teacher_off,1,1262123063,ES+STDP teacher-free,poisson_mixed,50.0,0.0,198,1.0132058979943395,0.02462121212121212,143.58375000000012,8.937799329494585,24,0.015151515151515152,0.8939393939393939,False,False,False,,ECIES|m1|p3|r0,1,3,0,1931849343,105,145.61801952063576,-145.61801952063576,0.1
ECIES,full_noise_campaign,es_stdp_teacher_off,1,1262123063,ES+STDP teacher-free,poisson_mixed,100.0,0.0,198,1.0097929420880973,0.047979797979797977,148.9918750000001,9.192896782581984,41,0.025883838383838384,0.8080808080808081,False,False,False,,ECIES|m1|p3|r0,1,3,0,794261554,105,145.61801952063576,-145.61801952063576,0.1
ECIES,full_noise_campaign,es_stdp_teacher_off,1,1010649285,ES+STDP teacher-free,none,0.0,0.0,198,1.002459028037265,0.0,137.5043750000001,8.643720695861322,0,0.0,1.0,True,True,True,1.0,ECIES|m1|p3|r1,1,3,1,1723010878,105,145.61801952063576,-145.61801952063576,0.1
ECIES,full_noise_campaign,es_stdp_teacher_off,1,1010649285,ES+STDP teacher-free,poisson_excitatory,5.0,0.0,198,1.0121873619500548,0.001893939393939394,137.2031250000001,8.651910886087308,2,0.0012626262626262627,0.98989898989899,False,False,False,,ECIES|m1|p3|r1,1,3,1,474224476,105,145.61801952063576,-145.61801952063576,0.1
ECIES,full_noise_campaign,es_stdp_teacher_off,1,1010649285,ES+STDP teacher-free,poisson_excitatory,10.0,0.0,198,1.0121612178627402,0.010101010101010102,137.72625000000002,8.697448207895508,9,0.005681818181818182,0.9595959595959596,False,False,False,,ECIES|m1|p3|r1,1,3,1,1745010217,105,145.61801952063576,-145.61801952063576,0.1
ECIES,full_noise_campaign,es_stdp_teacher_off,1,1010649285,ES+STDP teacher-free,poisson_excitatory,25.0,0.0,198,1.0033179719466716,0.032196969696969696,142.49437499999996,8.982094668671074,31,0.019570707070707072,0.8484848484848485,False,False,False,,ECIES|m1|p3|r1,1,3,1,2088554790,105,145.61801952063576,-145.61801952063576,0.1
ECIES,full_noise_campaign,es_stdp_teacher_off,1,1010649285,ES+STDP teacher-free,poisson_excitatory,50.0,0.0,198,1.0106858969666064,0.09722222222222222,156.851875,9.716246678604048,79,0.049873737373737376,0.6363636363636364,False,False,False,,ECIES|m1|p3|r1,1,3,1,1734355667,105,145.61801952063576,-145.61801952063576,0.1
ECIES,full_noise_campaign,es_stdp_teacher_off,1,1010649285,ES+STDP teacher-free,poisson_excitatory,100.0,0.0,198,1.00457453308627,0.25315656565656564,193.89687500000014,11.499740264765904,229,0.14457070707070707,0.303030303030303,False,False,False,,ECIES|m1|p3|r1,1,3,1,1825551180,105,145.61801952063576,-145.61801952063576,0.1
ECIES,full_noise_campaign,es_stdp_teacher_off,1,1010649285,ES+STDP teacher-free,poisson_inhibitory,5.0,0.0,198,1.001375611172989,0.003787878787878788,138.4537500000001,8.672852216567152,3,0.001893939393939394,0.9848484848484849,False,False,False,,ECIES|m1|p3|r1,1,3,1,1118374092,105,145.61801952063576,-145.61801952063576,0.1
ECIES,full_noise_campaign,es_stdp_teacher_off,1,1010649285,ES+STDP teacher-free,poisson_inhibitory,10.0,0.0,198,1.0108521301299334,0.006313131313131313,139.62812500000018,8.710157385129317,3,0.001893939393939394,0.9848484848484849,False,False,False,,ECIES|m1|p3|r1,1,3,1,31101514,105,145.61801952063576,-145.61801952063576,0.1
ECIES,full_noise_campaign,es_stdp_teacher_off,1,1010649285,ES+STDP teacher-free,poisson_inhibitory,25.0,0.0,198,1.0058537269942462,0.008838383838383838,142.7975000000001,8.807261401875857,6,0.003787878787878788,0.9696969696969697,False,False,False,,ECIES|m1|p3|r1,1,3,1,363134789,105,145.61801952063576,-145.61801952063576,0.1
ECIES,full_noise_campaign,es_stdp_teacher_off,1,1010649285,ES+STDP teacher-free,poisson_inhibitory,50.0,0.0,198,1.0117410868406296,0.03598484848484849,148.38625000000008,9.050210016419335,25,0.015782828282828284,0.8737373737373737,False,False,False,,ECIES|m1|p3|r1,1,3,1,246941042,105,145.61801952063576,-145.61801952063576,0.1
ECIES,full_noise_campaign,es_stdp_teacher_off,1,1010649285,ES+STDP teacher-free,poisson_inhibitory,100.0,0.0,198,1.0030033700168133,0.17929292929292928,156.77749999999997,9.599228499359324,194,0.12247474747474747,0.36868686868686873,False,False,False,,ECIES|m1|p3|r1,1,3,1,1001110030,105,145.61801952063576,-145.61801952063576,0.1
