algorithm,experiment,condition,trial,rail,bit_index,bit_value,victor_purpura,van_rossum,l1_spike_count,l3_spike_count,noise_seed,noise_type,noise_rate_hz
S-DES,teaching_ablation,teacher_assisted_then_off,0,10,5,0,117.90000000000019,8.499073863237722,144,186,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,0,11,5,1,50.019999999999925,5.2511213657477045,66,68,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,0,12,6,0,60.93000000000005,5.752039579085868,86,90,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,0,13,6,1,98.1700000000001,7.660489343284328,124,152,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,0,14,7,0,109.07000000000015,8.20354839911311,130,177,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,0,15,7,1,54.219999999999985,5.447035157832594,80,85,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,0,0,0,0,56.57999999999996,5.848994765600141,118,118,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,0,1,0,1,47.190000000000076,5.296231086046523,92,92,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,0,2,1,0,40.899999999999935,4.918520461457782,78,78,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,0,3,1,1,61.02999999999996,6.1236527534117595,132,132,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,0,4,2,0,42.72000000000008,5.047637958445023,82,82,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,0,5,2,1,59.90000000000014,6.063411112662944,128,128,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,0,6,3,0,63.59000000000016,6.250710534429374,134,134,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,0,7,3,1,42.50000000000005,5.000911213232843,76,76,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,0,8,4,0,30.199999999999964,4.229887740341332,56,56,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,0,9,4,1,66.46000000000008,6.4920606405167405,154,154,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,0,10,5,0,66.37000000000009,6.4129842727870745,144,144,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,0,11,5,1,38.70000000000004,4.721882287475863,66,66,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,0,12,6,0,46.520000000000024,5.235486736495406,86,86,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,0,13,6,1,60.35999999999998,6.067172162194011,124,124,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,0,14,7,0,58.83000000000013,6.060760394171487,130,130,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,0,15,7,1,39.97999999999998,4.91743215884761,80,80,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,0,0,0,0,156.26999999999987,12.367006507346103,118,239,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,0,1,0,1,102.76999999999994,9.414624319813646,92,163,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,0,2,1,0,86.41999999999994,8.612393291482729,78,137,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,0,3,1,1,175.64999999999984,13.154711114874335,132,269,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,0,4,2,0,93.17000000000012,9.11507556094337,82,148,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,0,5,2,1,166.59999999999982,12.750555900623642,128,258,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,0,6,3,0,179.89000000000007,13.325053071458749,134,274,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,0,7,3,1,80.14999999999998,8.146585251403883,76,127,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,0,8,4,0,61.450000000000045,7.240478484401639,56,97,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,0,9,4,1,206.25999999999988,14.294423456520803,154,317,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,0,10,5,0,191.82999999999987,13.733203181932284,144,294,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,0,11,5,1,68.70000000000003,7.501115621941357,66,108,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,0,12,6,0,92.80000000000001,8.876961631921445,86,148,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,0,13,6,1,160.57999999999998,12.472756236307337,124,248,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,0,14,7,0,173.16999999999987,13.018808412212158,130,265,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,0,15,7,1,89.7599999999999,8.858954740369338,80,143,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,1,0,0,0,80.82000000000006,6.729442866340051,118,131,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,1,1,0,1,62.47999999999994,5.858380669366416,92,96,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,1,2,1,0,53.59,5.340935817446373,78,81,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,1,3,1,1,88.27999999999987,7.02094731530891,132,148,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,1,4,2,0,58.15000000000003,5.6467096924477245,82,87,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,1,5,2,1,87.20999999999997,6.978930076770267,128,144,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,1,6,3,0,89.24000000000005,6.987656084360721,134,147,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,1,7,3,1,54.22,5.365697497578339,76,77,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,1,8,4,0,39.72,4.660879974740494,56,58,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,1,9,4,1,105.73999999999988,7.74059893181226,154,183,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,1,10,5,0,97.05000000000003,7.351545281288923,144,161,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,1,11,5,1,48.78000000000011,5.1350016403073955,66,67,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,1,12,6,0,60.42000000000009,5.666787911827743,86,89,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,1,13,6,1,81.67999999999984,6.61967471731849,124,133,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,1,14,7,0,88.32999999999986,7.021010377220581,130,149,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,1,15,7,1,53.79999999999993,5.424661783116898,80,84,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_static_teacher_off,1,0,0,0,70.98000000000006,6.1385283174472995,118,119,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_static_teacher_off,1,1,0,1,60.089999999999954,5.68603526438432,92,94,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_static_teacher_off,1,2,1,0,52.38999999999992,5.248035863056604,78,80,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_static_teacher_off,1,3,1,1,76.56999999999995,6.424546324705035,132,134,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_static_teacher_off,1,4,2,0,53.13000000000003,5.281137842444714,82,82,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_static_teacher_off,1,5,2,1,74.20999999999994,6.307037579095847,128,129,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_static_teacher_off,1,6,3,0,79.67000000000017,6.506125643190459,134,135,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_static_teacher_off,1,7,3,1,53.050000000000026,5.241753663038336,76,76,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_static_teacher_off,1,8,4,0,37.53999999999996,4.4353752237352415,56,56,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_static_teacher_off,1,9,4,1,86.39999999999993,6.932140762355892,154,160,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_static_teacher_off,1,10,5,0,84.50000000000007,6.725509320766201,144,146,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_static_teacher_off,1,11,5,1,48.210000000000036,5.046041214687412,66,67,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_static_teacher_off,1,12,6,0,58.70000000000007,5.540786377144553,86,87,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_static_teacher_off,1,13,6,1,76.13999999999997,6.34149148962446,124,125,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_static_teacher_off,1,14,7,0,72.25000000000004,6.326310020604901,130,130,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_static_teacher_off,1,15,7,1,51.77999999999992,5.277248222734132,80,82,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,default_stdp_teacher_off,1,0,0,0,81.0200000000001,6.81244652140435,132,131,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,default_stdp_teacher_off,1,1,0,1,67.58000000000008,6.447763124561874,100,95,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,default_stdp_teacher_off,1,2,1,0,61.01000000000003,6.126233689464325,84,80,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,default_stdp_teacher_off,1,3,1,1,88.19999999999997,7.101293926193597,148,148,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,default_stdp_teacher_off,1,4,2,0,63.01999999999986,6.240163809392925,90,87,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,default_stdp_teacher_off,1,5,2,1,87.11,7.095556155534908,144,144,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,default_stdp_teacher_off,1,6,3,0,94.42000000000006,7.3140953342306485,152,152,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,default_stdp_teacher_off,1,7,3,1,63.29000000000011,6.371476167145869,79,70,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,default_stdp_teacher_off,1,8,4,0,44.790000000000084,5.348035441320077,60,56,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,default_stdp_teacher_off,1,9,4,1,99.24000000000001,7.346234529537725,175,175,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,default_stdp_teacher_off,1,10,5,0,97.81000000000007,7.326624912917001,164,164,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,default_stdp_teacher_off,1,11,5,1,54.52000000000003,5.980929187643181,68,57,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,default_stdp_teacher_off,1,12,6,0,66.59999999999997,6.469809205336287,91,84,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,default_stdp_teacher_off,1,13,6,1,89.76000000000016,7.198739922889711,138,138,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,default_stdp_teacher_off,1,14,7,0,87.59,7.055937582481629,147,147,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,default_stdp_teacher_off,1,15,7,1,59.46000000000014,5.922400343146991,88,83,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,1,0,0,0,96.93999999999976,7.6413009031797055,118,151,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,1,1,0,1,65.14999999999995,6.037761813204903,92,99,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,1,2,1,0,56.68,5.614481652761276,78,84,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,1,3,1,1,107.27000000000005,8.060972834321635,132,171,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,1,4,2,0,64.65000000000006,6.074107637637007,82,96,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,1,5,2,1,94.37999999999974,7.347766682421239,128,153,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,1,6,3,0,106.6499999999998,7.980390373022421,134,169,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,1,7,3,1,55.34999999999997,5.475255161334877,76,78,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,1,8,4,0,40.63000000000006,4.729970619425331,56,59,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,1,9,4,1,134.28999999999996,9.242184361284373,154,220,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,1,10,5,0,110.27999999999992,8.091320096972686,144,179,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,1,11,5,1,50.23000000000007,5.263050281508645,66,69,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,1,12,6,0,60.68000000000005,5.709202668145393,86,90,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,1,13,6,1,95.45999999999992,7.522225509812912,124,150,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,1,14,7,0,108.62000000000006,8.137641434315078,130,176,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_assisted_then_off,1,15,7,1,55.31000000000002,5.533356028002495,80,86,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,1,0,0,0,56.57999999999996,5.848994765600141,118,118,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,1,1,0,1,47.190000000000076,5.296231086046523,92,92,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,1,2,1,0,40.899999999999935,4.918520461457782,78,78,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,1,3,1,1,61.02999999999996,6.1236527534117595,132,132,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,1,4,2,0,42.72000000000008,5.047637958445023,82,82,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,1,5,2,1,59.90000000000014,6.063411112662944,128,128,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,1,6,3,0,63.59000000000016,6.250710534429374,134,134,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,1,7,3,1,42.50000000000005,5.000911213232843,76,76,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,1,8,4,0,30.199999999999964,4.229887740341332,56,56,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,1,9,4,1,66.46000000000008,6.4920606405167405,154,154,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,1,10,5,0,66.37000000000009,6.4129842727870745,144,144,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,1,11,5,1,38.70000000000004,4.721882287475863,66,66,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,1,12,6,0,46.520000000000024,5.235486736495406,86,86,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,1,13,6,1,60.35999999999998,6.067172162194011,124,124,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,1,14,7,0,58.83000000000013,6.060760394171487,130,130,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,teacher_only,1,15,7,1,39.97999999999998,4.91743215884761,80,80,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,1,0,0,0,153.20000000000005,12.166278398230471,118,236,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,1,1,0,1,104.57999999999998,9.563922347767258,92,165,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,1,2,1,0,87.45999999999997,8.719849588389724,78,138,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,1,3,1,1,172.8099999999998,12.947839492998266,132,266,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,1,4,2,0,91.23000000000008,8.937042877552246,82,146,1643688073,poisson_excitatory,10.0
